1,a,하나의,elementary
2,abandon,버리다,intermediate
3,able,할 수 있는,intermediate
4,aboard,배로,intermediate
5,abort,유산하다,expert
6,about,-에 대하여,elementary
7,above,-보다 위에,elementary
8,abroad,외국으로,intermediate
9,absent,부재의,intermediate
10,absolute,절대의,intermediate
11,absorb,흡수하다,intermediate
12,abstract,추상적인,intermediate
13,absurd,불합리한,expert
14,abundant,풍부한,intermediate
15,abuse,남용,intermediate
16,academy,학술원,elementary
17,accelerate,가속하다 속도가 가해지다,intermediate
18,accent,액센트,elementary
19,accept,받아들이다,intermediate
20,access,접근,intermediate
21,accident,뜻밖의 사건,elementary
22,accommodate,수용하다,intermediate
23,accompany,동반하다,intermediate
24,accomplish,이루다,intermediate
25,accord,일치하다,expert
26,account,설명하다 계산,intermediate
27,accumulate,축적하다,expert
28,accurate,정확한,intermediate
29,accuse,고발하다,intermediate
30,achieve,성취하다,intermediate
31,acid,산 신,intermediate
32,acknowledge,인정하다,intermediate
33,acquaint,알리다,expert
34,acquire,얻다,intermediate
35,acquisition,획득,expert
36,across,가로질러,elementary
37,act,행동하다,elementary
38,activate,활동적으로 하다,intermediate
39,actual,현실의,intermediate
40,acute,날카로운,intermediate
41,adapt,적용시키다,intermediate
42,add,추가하다,elementary
43,addict,열중하게 하다,intermediate
44,address,말을 걸다,elementary
45,adequate,충분한,intermediate
46,adjust,맞추다,intermediate
47,administer,관리하다,intermediate
48,admire,감복하다,intermediate
49,admission,입장,intermediate
50,admit,받아들이다,intermediate
51,adolescent,청년기의,intermediate
52,adopt,채용하다,intermediate
53,adult,성인,elementary
54,advance,나아가다,intermediate
55,advantage,유리한 입장,intermediate
56,adventure,모험 모험하다,elementary
57,adverse,거꾸로의,expert
58,advertize,광고하다,intermediate
59,advise,충고하다,elementary
60,advocate,변호사,intermediate
61,aesthetic,미적인,expert
62,affair,일,intermediate
63,affect,영향을 주다,intermediate
64,affection,애정,intermediate
65,affiliate,회원으로 가입시키다,expert
66,afford,여유가 있다,intermediate
67,afraid,두려워하여,elementary
68,after,후에,elementary
69,afternoon,오후,elementary
70,again,다시,elementary
71,against,…에 반대하여,elementary
72,age,연령,elementary
73,agency,기능,intermediate
74,agenda,안건,intermediate
75,agent,대리인,intermediate
76,aggressive,침략적인,intermediate
77,ago,이전에,elementary
78,agree,동의하다,elementary
79,agriculture,농업,intermediate
80,ahead,전방에,elementary
81,aid,도와 주다,intermediate
82,aim,겨누다,intermediate
83,air,공기,elementary
84,airplane,비행기,elementary
85,aircraft,항공기,intermediate
86,airline,정기항공,elementary
87,airport,공항,elementary
88,aisle,측면복도,intermediate
89,alert,빈틈없는,intermediate
90,alien,외국의,intermediate
91,alike,비슷한,intermediate
92,alive,살아있는,intermediate
93,all,모든,elementary
94,allocate,할당하다,expert
95,allow,허락하다,intermediate
96,ally,동맹하다,intermediate
97,almost,거의,elementary
98,alone,다만 홀로(혼자서),elementary
99,along,-을 따라,elementary
100,alongside,-의 곁에,intermediate
101,aloud,큰 소리로,elementary
102,already,이미,elementary
103,alright,더할나위없이,elementary
104,also,-도 또한,elementary
105,alter,바꾸다,intermediate
106,alternative,어느 한쪽의 양자택일,intermediate
107,although,비록 -일지라도,intermediate
108,altogether,전혀,intermediate
109,always,늘,elementary
110,A.M.,오전,elementary
111,amaze,깜짝 놀라게 하다,intermediate
112,ambassador,대사,intermediate
113,ambition,야심,intermediate
114,among,-중에,intermediate
115,amount,(금액이)-이 되다,intermediate
116,amplify,확대하다,expert
117,amuse,재미나게 하다,intermediate
118,analyze,분해하다,intermediate
119,anchor,닻,intermediate
120,ancient,옛날의,intermediate
121,and,및,elementary
122,angel,천사,elementary
123,anger,성,elementary
124,angle,각,intermediate
125,animal,동물,elementary
126,anniversary,기념일 예년의,intermediate
127,announce,알리다,intermediate
128,annoy,귀찮게하다,intermediate
129,annual,일년의,intermediate
130,another,또 하나,elementary
131,answer,대답,elementary
132,ant,개미,elementary
133,anticipate,예기하다,intermediate
134,anxiety,근심,intermediate
135,anxious,걱정되는,intermediate
136,any,어떤,elementary
137,apart,떨어져서,intermediate
138,apology,사과,intermediate
139,apparent,명백한,intermediate
140,appeal,간청하다,intermediate
141,appear,나타나다,intermediate
142,apple,사과,elementary
143,applicant,지원자,intermediate
144,apply,(물건을)대다,intermediate
145,appoint,지정하다,intermediate
146,appreciate,감상하다,intermediate
147,approach,다가가다,intermediate
148,appropriate,적당한,intermediate
149,approve,시인하다,intermediate
150,approximate,어림셈의,intermediate
151,architect,건축가,intermediate
152,architecture,건축,intermediate
153,archive,기록보관소,expert
154,area,면적,elementary
155,argue,논하다,intermediate
156,arise,생기다,intermediate
157,arm,팔,elementary
158,army,육군,intermediate
159,around,사방에,elementary
160,arrange,가지런히 하다,intermediate
161,arrest,체포하다,intermediate
162,arrive,도착하다,elementary
163,arrow,화살,intermediate
164,art,예술,elementary
165,article,물품,intermediate
166,artificial,인공의,intermediate
167,as,-와 같은 정도로,elementary
168,ash,회,intermediate
169,aside,곁에,intermediate
170,ask,묻다,elementary
171,asleep,잠들은,intermediate
172,aspect,관점,intermediate
173,aspire,열망하다,intermediate
174,assault,습격,expert
175,assemble,모으다,intermediate
176,assert,단언하다,intermediate
177,assess,(세금 등을)사정하다,intermediate
178,asset,자산,intermediate
179,assign,할당하다,intermediate
180,assist,돕다,intermediate
181,associate,연상하다,intermediate
182,assume,취하다,intermediate
183,assure,보증하다,intermediate
184,astonish,놀라게 하다,intermediate
185,at,-에서,elementary
186,athlete,운동가,intermediate
187,atmosphere,대기,intermediate
188,atom,원자,intermediate
189,attach,붙이다,intermediate
190,attack,공격하다,intermediate
191,attain,이르다,intermediate
192,attempt,시도하다,intermediate
193,attend,출석하다,intermediate
194,attention,주의,intermediate
195,attitude,태도,intermediate
196,attorney,변호사,expert
197,attract,끌어 당기다,intermediate
198,attribute,속성,intermediate
199,auction,경매,intermediate
200,audience,청중,intermediate
201,aunt,아주머니,elementary
202,authentic,진짜의,expert
203,author,저자,intermediate
204,autobiography,자서전,intermediate
205,automatic,자동의,intermediate
206,automobile,자동차 자동차의,intermediate
207,available,쓸모있는,intermediate
208,avenue,가로수길,intermediate
209,average,평균,intermediate
210,avoid,피하다,intermediate
211,await,기다리다,intermediate
212,awake,깨우다,intermediate
213,award,상,intermediate
214,aware,알고 있는,intermediate
215,away,떨어져서,elementary
216,awesome,무서운,intermediate
217,awful,두려운,intermediate
218,awkward,어색한,intermediate
219,baby,"갓난아이, 막내   관심사, 골치아픈 일,",elementary
220,back,등,elementary
221,background,배경,elementary
222,bad,나쁜,elementary
223,bake,굽다,elementary
224,balance,균형,intermediate
225,ball,공,elementary
226,balloon,기구,elementary
227,ban,금지,intermediate
